14A,14A-04,UG,UB 47,UB 57,10,500,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,1,lembab,cerah,,,,,,,,
14A,14A-05,UG,UB 57,MS 27,10,500,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,1,lembab,cerah,,,,,,,,
14A,14A-06,UG,MS 27,MS 17,10,500,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,1,lembab,cerah,,,,,,,,
14A,14A-07,UG,MS 17,MS 07,10,500,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,2,lembab,cerah,,,,,,,,
14A,14A-08,UG,MS 07,NB 17,10,500,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14A,14A-09,UG,NB 17,NB 07,10,500,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14A,14A-10,UG,NB 07,NB 05,2,100,2012-11-22,AB,05:35 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14B,14B-01,UG,NB 05,NB 07,2,100,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14B,14B-02,UG,NB 07,NB 17,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14B,14B-03,UG,NB 17,MS 07,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14B,14B-04,UG,MS 07,MS 17,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,0,lembab,mendung,,,,,,,,
14B,14B-05,UG,MS 17,MS 27,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,1,lembab,mendung,,,,,,,,
14B,14B-06,UG,MS 27,UB 57,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,3,lembab,mendung,,,,,,,,
14B,14B-07,UG,UB 57,UB 47,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,1,lembab,mendung,,,,,,,,
14B,14B-08,UG,UB 47,UB 37,10,500,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,1,lembab,cerah,,,,,,,,
14B,14B-09,UG,UB 37,UB 30,7,350,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,0,lembab,cerah,,,,,,,,
14B,14B-10,LG,UB 30,UB 26,4,200,2012-11-30,SL,05:30 AM,lembab,Kemarin,Kwat,0,0,lembab,mendung,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"<to enter a second set of censuses, copy all rows above and paste again here>",,,,,,,,,,,,,,,,,,,,,,,,
1A,1A-01,PS,KP 37,KP 27,10,500,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,0,0,basah,mendung,,,,,,,,
1A,1A-02,PS,KP 27,KP 17,10,500,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
1A,1A-03,PS,TZ 0,BD 13,10,500,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,0,1,basah,cerah,,,,,,,,
1A,1A-04,PS,BD 13,BD 03,10,500,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
1A,1A-05,PS,BD 03,RB 20,10,500,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,3,1,basah,cerah,,,,,,,,
1A,1A-06,PS,KP 00,KP 10,10,500,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
1A,1A-07,PS,KP 10,KP15,5,250,2012-12-09,AB,05:30 AM,Basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
1B,1B-01,PS,KP15,KP 10,5,250,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,mendung,,3-5jam,,,,,,
1B,1B-02,PS,KP 10,KP 00,10,500,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,mendung,,3-5jam,,,,,,
1B,1B-03,PS,RB 20,BD 03,10,500,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,mendung,,3-5jam,,,,,,
1B,1B-04,PS,BO 03,BD 13,10,500,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,,3-5jam,,,,,,
1B,1B-05,PS,BD 13,TZ 00,10,500,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,1,basah,cerah,,3-5jam,,,,,,
1B,1B-06,PS,KP 17,KP 27,10,500,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,,3-5jam,,,,,,
1B,1B-07,PS,KP 27,KP 37,10,500,2012-12-24,AB,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,,3-5jam,,,,,,
2A,2A-01,PS,DG 0,IF 15,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2A,2A-02,PS,IF 15,IF 25,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,1,0,lembab,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2A,2A-03,PS,IF 25,IF 35,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2A,2A-04,PS,IF 35,IF 45,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2A,2A-05,PS,IF 45,RG 00,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2A,2A-06,PS,TZ 27,TZ 17,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2A,2A-07,PS,TZ 17,TZ 07,10,500,2012-12-12,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,"kami census berdua orang, tapi saya hanya hitung satu orang saja untuk pacat yang jalan di depan (the second person doesn't get any leeches in this census)",,,,,,,
2B,2B-01,PS,TZ 07,TZ 17,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,1,0,basah,cerah,,1jam,,,,,,
2B,2B-02,PS,TZ 17,TZ 27,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,0,0,basah,cerah,,1jam,,,,,,
2B,2B-03,PS,RG 00,IF 45,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,0,0,basah,cerah,,1jam,,,,,,
2B,2B-04,PS,IF 45,IF 35,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,0,0,basah,cerah,,1jam,,,,,,
2B,2B-05,PS,IF 35,IF 25,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,0,0,basah,cerah,,1jam,,,,,,
2B,2B-06,PS,IF 25,IF 15,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,0,0,basah,cerah,,1jam,,,,,,
2B,2B-07,PS,IF 15,DG 0,10,500,2012-12-25,MI,05:30 AM,Basah,Kemarin,Kwat,1,0,basah,cerah,,1jam,,,,,,
3A,3A-01,FS,BM 00,BM 06,6,300,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,0,0,basah,cerah,,1jam,,,,,,
3A,3A-02,AB,BM 06,BM 16,10,500,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,1,3,basah,cerah,,,,,,,,
3A,3A-03,AB,DS 12,DS 08,4,200,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,4,0,basah,cerah,,,,,,,,
3A,3A-04,FS,DS 08,GB 13,10,500,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,4,1,basah,cerah,,,,,,,,
3A,3A-05,FS,GB 13,GB 02,11,550,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,0,0,basah,cerah,,,,,,,,
3A,3A-06,AB,GB 02,SP 08,10,500,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,1,1,basah,cerah,,,,,,,,
3A,3A-07,AB,SP 08,TR 05,5,250,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,2,0,basah,cerah,,,,,,,,
3A,3A-08,FS,ST 10,ST 00,10,500,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,1,0,basah,cerah,,,,,,,,
3A,3A-09,FS,RB 10,RB 07,3,150,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,1,0,basah,cerah,,,,,,,,
3A,3A-10,AB,RB 07,RB 06,1,50,2012-12-02,LD,05:30 AM,Basah,Tadi malam,Gerimis,0,0,basah,cerah,,,,,,,,
3B,3B-01,AB,RB 06,RB 07,1,50,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,mendung,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-02,FS,RB 07,RB 10,3,150,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,mendung,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-03,FS,ST 00,ST 10,10,500,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-04,AB,TR 05,SP 08,5,250,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-05,AB,SP 08,GB 02,10,500,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-06,FS,GB 02,GB 13,11,550,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-07,FS,GB 13,DS 08,10,500,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,1,0,basah,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-08,AB,DS 08,DS 12,4,200,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-09,AB,BM 16,BM 06,10,500,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
3B,3B-10,FS,BM 06,BM 00,6,300,2012-12-21,AB/MI,05:30 AM,Basah,Kemarin,Gerimis,2,1,basah,hujan,jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja,<1jam,,,,,,
4A,4A-01,AB,SK 00,SK 10,10,500,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,1,1,basah,cerah,,,,,,,,
4A,4A-02,AB,SK 10,ST 18,10,500,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
4A,4A-03,AB,ST 18,TR 06,9,450,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,1,0,basah,cerah,,,,,,,,
4A,4A-04,FS,TR 06,SZ 15,10,500,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,3,0,basah,cerah,,,,,,,,
4A,4A-05,FS,SZ 15,RS 22,10,500,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,6,0,basah,cerah,,,,,,,,
4A,4A-06,FS,RS 22,RS 32,10,500,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,3,1,basah,cerah,,,,,,,,
4A,4A-07,FS,RS 32,RS 42,10,500,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,1,0,basah,cerah,,,,,,,,
4A,4A-08,FS,RS 42,RS 44,2,100,2012-12-09,LD,05:30 AM,Basah,Tadi malam,Sedang,2,0,basah,cerah,,,,,,,,
4B,4B-01,FS,RS 44,RS 42,2,100,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,1,0,basah,kabut,,<1jam,,,,,,
4B,4B-02,FS,RS 42,RS 32,10,500,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,2,0,basah,mendung,,<1jam,,,,,,
4B,4B-03,FS,RS 32,RS 22,10,500,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,9,3,basah,cerah,,<1jam,,,,,,
4B,4B-04,FS,RS 22,SZ 15,10,500,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,3,1,basah,cerah,,<1jam,,,,,,
4B,4B-05,FS,SZ 15,TR 06,10,500,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,cerah,,<1jam,,,,,,
4B,4B-06,AB,TR 06,ST 18,9,450,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
4B,4B-07,AB,ST 18,SK 10,10,500,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,1,0,lembab,cerah,,<1jam,,,,,,
4B,4B-08,AB,SK 10,SK 00,10,500,2012-12-21,LD,05:30 AM,Basah,Kemarin,Gerimis,1,0,lembab,cerah,,<1jam,,,,,,
5A,5A-01,LS,JB 00,JB 04,4,200,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
5A,5A-02,LG,JB 04,JB 11,7,350,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,5,1,lembab,cerah,,,,,,,,
5A,5A-03,LS,JB 11,JB 21,10,500,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,14,0,lembab,cerah,,,,,,,,
5A,5A-04,LS,TL 17,TL 20,3,150,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
5A,5A-05,LG,TL 20,TL 30,10,500,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
5A,5A-06,LG,TL 30,TL 40,10,500,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
5A,5A-07,LG,TL 40,GP 36,10,500,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
5A,5A-08,LG,GP 36,GP 26,10,500,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
5A,5A-09,LG,GP 26,GP 20,6,300,2012-12-05,LD,05:30 AM,Lembab,Kemarin,Gerimis,1,0,lembab,cerah,,,,,,,,
5B,5B-01,LG,GP 20,GP 26,6,300,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,0,0,lembab,cerah,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-02,LG,GP 26,GP 36,10,500,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,1,0,lembab,cerah,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-03,LG,GP 36,TL 40,10,500,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,1,1,lembab,cerah,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-04,LG,TL 40,TL 30,10,500,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,0,0,lembab,mendung,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-05,LG,TL 30,TL 20,10,500,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,0,0,lembab,mendung,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-06,LS,TL 20,TL 17,3,150,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,0,0,lembab,mendung,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-07,LS,JB 21,JB 11,10,500,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,3,0,basah,gerimis,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-08,LG,JB 11,JB 05,7,350,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,6,1,basah,gerimis,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
5B,5B-09,LS,JB 04,JB 00,4,200,2012-12-22,AB/MI,05:30 AM,Basah,Tadi malam,Gerimis,2,0,basah,cerah,jalan census dua orang tapi saya hanya menghitung satu orang yg berada di depan saja,1-3 jam,,,,,,
6A,6A-01,LS,UB 04,UB 13,9,450,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-02,LG,UB 13,UB 23,10,500,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-03,LG,UB23,HB 14,10,500,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-04,LG,HB 14,HB 04,10,500,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-05,LG,HB 04,DP 7,10,500,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-06,LG,SI 28,SI 18,10,500,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-07,LG,SI 18,SI 08,10,500,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-08,LG,SI 08,SI 05,3,150,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6A,6A-09,LS,SI 05,SI 00,5,250,2012-12-12,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,,,,,,,
6B,6B-01,LS,SI 00,SI 05,5,250,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,mendung,,1jam,,,,,,
6B,6B-02,LG,SI 5,SI 08,3,150,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,1,lembab,mendung,,1jam,,,,,,
6B,6B-03,LG,SI 08,SI 18,10,500,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,mendung,,1jam,,,,,,
6B,6B-04,LG,SI 18,SI 28,10,500,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,1jam,,,,,,
6B,6B-05,LG,DP 7,HB 04,10,500,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,1,0,lembab,cerah,,1jam,,,,,,
6B,6B-06,LG,HB 04,HB 14,10,500,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,1jam,,,,,,
6B,6B-07,LG,HB 14,UB 23,10,500,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,1jam,,,,,,
6B,6B-08,LG,UB 23,UB 13,10,500,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,1jam,,,,,,
6B,6B-09,LS,UB 13,UB 04,9,450,2012-12-25,AB,05:30 AM,Lembab,Kemarin,Kwat,0,0,lembab,cerah,,1jam,,,,,,
7A,7A-01,UG,TK 13,MR 12,10,500,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,0,basah,mendung,,,,,,,,
7A,7A-02,UG,MR 12,MR 02,10,500,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,1,basah,mendung,,,,,,,,
7A,7A-03,UG,MR 02,GP 74,4,200,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,1,basah,cerah,,,,,,,,
7A,7A-04,MO,PP 10,PP 00,10,500,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
7A,7A-05,MO,GP 79,GP 89,10,500,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,2,lembab,cerah,,,,,,,,
7A,7A-06,MO,GP 89,GP 99,10,500,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,3,lembab,cerah,,,,,,,,
7A,7A-07,MO,GP 99,GP 107,8,400,2012-12-10,LD,05:35 AM,Lembab,Tadi malam,Sedang,0,1,lembab,cerah,,<1jam,,,,,,
7B,7B-01,UG,TK 13,MR 12,10,500,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
7B,7B-02,UG,MR 12,MR 02,10,500,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
7B,7B-03,UG,MR 02,GP 74,4,200,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,1,lembab,cerah,,<1jam,,,,,,
7B,7B-04,MO,PP 10,PP 00,10,500,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
7B,7B-05,MO,GP 79,GP 89,10,500,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
7B,7B-06,MO,GP 89,GP 99,10,500,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
7B,7B-07,MO,GP 99,GP 107,8,400,2012-12-28,AB,05:30 AM,Lembab,Kemarin,Gerimis,0,1,lembab,cerah,,<1jam,,,,,,
8A,8A-01,UG,NB 05,NB15,10,500,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,3,basah,mendung,,,,,,,,
8A,8A-02,UG,NB 15,UB 52,10,500,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,1,lembab,mendung,,,,,,,,
8A,8A-03,UG,UB 52,LM 08,10,500,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,1,basah,mendung gerimis kecil kecil,,,,,,,,
8A,8A-04,UG,LM 08,LM 02,6,300,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,0,lembab,cerah,,,,,,,,
8A,8A-05,MO,LM 02,UB 71,9,450,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,2,lembab,cerah,,,,,,,,
8A,8A-06,MO,UB 71,JJ 05,10,500,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,2,lembab,cerah,,,,,,,,
8A,8A-07,MO,JJ 05,UB 88,9,450,2012-12-10,AB,05:40 AM,Basah,Tadi malam,Sedang,0,7,lembab,cerah,,,,,,,,
8B,8B-01,UG,NB 05,NB15,10,500,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
8B,8B-02,UG,NB 15,UB 52,10,500,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
8B,8B-03,UG,UB 52,LM 08,10,500,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
8B,8B-04,UG,LM 08,LM 02,6,300,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
8B,8B-05,MO,LM 02,UB 71,9,450,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,0,0,lembab,cerah,,<1jam,,,,,,
8B,8B-06,MO,UB 71,JJ 05,10,500,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,1,0,lembab,cerah,,<1jam,,,,,,
8B,8B-07,MO,JJ 05,UB 88,9,450,2012-12-28,MI,05:30 AM,Lembab,Kemarin,Gerimis,0,1,lembab,cerah,,<1jam,,,,,,
11A,11A-01,LS,BC 00,BC10,10,500,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,mendung,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-02,LS,BC 10,QX 06,10,500,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-03,LS,QX 06,JB 04,9,450,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,1,0,lembab,cerah,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-04,LG,JB 04,JB 07,3,150,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,2,0,lembab,mendung,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-05,LS,PB 15,PB 05,10,500,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,1,0,lembab,cerah,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-06,LS,CK 05,PR 02,8,400,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,1,0,lembab,cerah,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-07,FS,PR 02,RB 02,4,200,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11A,11A-08,AB,RB 02,AP 08,11,550,2012-12-14,LD/MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,lembab,cerah,saya census pacat berdua tapi hanya di hitung satu orang yang berada di depan saja (the second person didn't get any leeches),<1jam,,,,,,
11B,11B-01,AB,AP 08,RB 02,11,550,2012-12-24,MI,05:30 AM,Basah,Kemarin,Gerimis,0,0,basah,mendung,,3-5jam,,,,,,
11B,11B-02,FS,RB 02,PR 02,4,200,2012-12-24,MI,05:30 AM,Basah,Kemarin,Gerimis,1,0,basah,mendung,,3-5jam,,,,,,
